--- asteroids vs asteroids ---
0 1 0.00451817 0.104322
0 2 0.0273267 0.429953
0 3 0.0708523 -0.390809
0 4 0.00530227 0.132773
0 5 0.00279066 0.444139
0 6 0.00540069 -0.46438
0 7 0.00383342 0.367392
0 8 0.00464536 0.583629
0 9 0.00485477 -0.626716
0 10 0.00773877 0.715215
0 11 0.0195943 0.176081
0 12 0.011691 0.61811
0 13 0.0134023 -0.267901
0 14 0.015225 -0.662942
0 15 0.00457008 -0.509683
0 16 0.00426643 -0.688955
0 17 0.0897789 0.323766
0 18 0.0128765 -0.293916
0 19 0.0183662 0.513736
0 20 0.00711557 0.0118158
0 21 0.0280554 0.351165
0 22 0.00556911 0.274691
0 23 0.163575 -0.0696287
0 24 0.00323773 -0.363217
0 25 0.13703 0.765052
0 26 0.00245564 0.102929
0 27 0.0106995 0.0028811
0 28 0.00248974 0.231004
0 29 0.0543713 0.212114
0 30 0.0143688 0.0716881
0 31 0.0312945 0.759019
0 32 0.00239514 0.215715
0 33 0.00402064 -0.352412
0 34 0.00401029 -0.234953
0 35 0.00282647 -0.00114362
0 36 0.0433008 0.401319
0 37 0.011845 0.509667
0 38 0.101467 0.684527
0 39 0.0081666 -0.767026
0 40 0.00257983 -0.576673
0 41 0.0122564 0.0123045
0 42 0.00303244 -0.0341928
0 43 0.00599826 -0.0971504
0 44 0.00218444 -0.62757
0 45 0.00230943 -0.5996
0 46 0.0045939 -0.17815
0 47 0.00461566 -0.772853
0 48 0.100502 -0.764485
0 49 0.00942868 -0.722644
0 50 0.0940962 -0.733437
0 51 0.0767111 -0.355666
0 52 0.00486718 -0.295962
0 53 0.0118448 -0.103978
0 54 0.00291008 0.450608
0 55 0.00170415 -0.669747
0 56 0.0239072 0.0848937
0 57 0.00488645 -0.258543
0 58 0.0748946 -0.459396
0 59 0.0109395 0.4249
0 60 0.0164793 0.746204
0 61 1.09408 0.395727
0 62 0.00353597 -0.66503
0 63 0.00625896 0.227002
0 64 0.0133381 0.332523
0 65 0.130744 -0.104698
0 66 0.0124095 0.0763653
0 67 0.0020519 -0.662536
0 68 0.00685896 0.0244531
0 69 0.0424858 0.215044
0 70 0.0216325 0.626142
0 71 0.00447692 -0.302422
0 72 0.0169655 0.0469262
0 73 0.00559472 0.418987
0 74 0.0190121 -0.678054
0 75 0.00396935 -0.758328
0 76 0.00588981 -0.248761
0 77 0.00342187 0.228394
0 78 0.00260833 -0.019212
0 79 0.0515904 0.580003
0 80 0.0111391 0.485681
0 81 0.00386072 -0.583529
